arm,arm_label,workload,rate,metric,mean,sd,n,seeds
A,released-prototype (TP patch absent),bursty,20,ttft_p99,5857.935385,2720.49128,3,1|2|3
A,released-prototype (TP patch absent),bursty,20,tpot_p50,105.378003,20.865547,3,1|2|3
A,released-prototype (TP patch absent),bursty,20,tpot_p95,531.114853,137.62458,3,1|2|3
A,released-prototype (TP patch absent),bursty,20,tpot_p99,1364.102965,113.824647,3,1|2|3
A,released-prototype (TP patch absent),bursty,20,e2e_p50,13733.58864,1726.413065,3,1|2|3
A,released-prototype (TP patch absent),bursty,20,e2e_p95,68288.075613,7988.763141,3,1|2|3
A,released-prototype (TP patch absent),bursty,20,e2e_p99,86331.689935,10143.483899,3,1|2|3
A,released-prototype (TP patch absent),bursty,20,migrations,4.333333,1.527525,3,1|2|3
A,released-prototype (TP patch absent),bursty,20,failed,272.333333,471.69517,3,1|2|3
A,released-prototype (TP patch absent),steady,4,goodput,0.375,0.06364,2,1|2
A,released-prototype (TP patch absent),steady,4,joint_slo,0.091262,0.016517,2,1|2
A,released-prototype (TP patch absent),steady,4,throughput,4.113333,0.04714,2,1|2
A,released-prototype (TP patch absent),steady,4,ttft_p50,105.927527,2.201836,2,1|2
A,released-prototype (TP patch absent),steady,4,ttft_p95,222.617775,4.214407,2,1|2
A,released-prototype (TP patch absent),steady,4,ttft_p99,325.8385,23.719762,2,1|2
A,released-prototype (TP patch absent),steady,4,tpot_p50,42.759528,0.558584,2,1|2
A,released-prototype (TP patch absent),steady,4,tpot_p95,58.720956,0.08598,2,1|2
A,released-prototype (TP patch absent),steady,4,tpot_p99,68.617506,1.533338,2,1|2
A,released-prototype (TP patch absent),steady,4,e2e_p50,5223.308624,191.750235,2,1|2
A,released-prototype (TP patch absent),steady,4,e2e_p95,19194.024059,196.079941,2,1|2
A,released-prototype (TP patch absent),steady,4,e2e_p99,21641.79418,465.735515,2,1|2
A,released-prototype (TP patch absent),steady,4,migrations,0.0,0.0,2,1|2
A,released-prototype (TP patch absent),steady,4,failed,0.0,0.0,2,1|2
A,released-prototype (TP patch absent),steady,8,goodput,0.321111,0.008389,3,1|2|3
A,released-prototype (TP patch absent),steady,8,joint_slo,0.039779,0.001006,3,1|2|3
A,released-prototype (TP patch absent),steady,8,throughput,8.072222,0.02835,3,1|2|3
A,released-prototype (TP patch absent),steady,8,ttft_p50,110.437711,3.80175,3,1|2|3
A,released-prototype (TP patch absent),steady,8,ttft_p95,242.864478,2.605069,3,1|2|3
A,released-prototype (TP patch absent),steady,8,ttft_p99,398.892202,39.43247,3,1|2|3
A,released-prototype (TP patch absent),steady,8,tpot_p50,50.61023,2.260769,3,1|2|3
A,released-prototype (TP patch absent),steady,8,tpot_p95,71.837129,4.159958,3,1|2|3
A,released-prototype (TP patch absent),steady,8,tpot_p99,89.215805,8.759425,3,1|2|3
A,released-prototype (TP patch absent),steady,8,e2e_p50,6249.996231,446.278408,3,1|2|3
A,released-prototype (TP patch absent),steady,8,e2e_p95,23354.697963,949.936687,3,1|2|3
A,released-prototype (TP patch absent),steady,8,e2e_p99,26273.747826,1477.01847,3,1|2|3
A,released-prototype (TP patch absent),steady,8,migrations,0.0,0.0,3,1|2|3
A,released-prototype (TP patch absent),steady,8,failed,0.0,0.0,3,1|2|3
A,released-prototype (TP patch absent),steady,20,goodput,0.145556,0.127599,3,1|2|3
A,released-prototype (TP patch absent),steady,20,joint_slo,0.007309,0.006424,3,1|2|3
A,released-prototype (TP patch absent),steady,20,throughput,13.726667,10.745052,3,1|2|3
A,released-prototype (TP patch absent),steady,20,ttft_p50,177.921335,83.384699,3,1|2|3
A,released-prototype (TP patch absent),steady,20,ttft_p95,937.987967,1078.671957,3,1|2|3
A,released-prototype (TP patch absent),steady,20,ttft_p99,1528.266343,1443.712888,3,1|2|3
A,released-prototype (TP patch absent),steady,20,tpot_p50,91.008198,33.984097,3,1|2|3
A,released-prototype (TP patch absent),steady,20,tpot_p95,295.393493,201.662799,3,1|2|3
A,released-prototype (TP patch absent),steady,20,tpot_p99,443.706227,358.373637,3,1|2|3
A,released-prototype (TP patch absent),steady,20,e2e_p50,9063.481502,789.054998,3,1|2|3
A,released-prototype (TP patch absent),steady,20,e2e_p95,54201.49562,17112.592447,3,1|2|3
A,released-prototype (TP patch absent),steady,20,e2e_p99,64725.252818,19554.378087,3,1|2|3
A,released-prototype (TP patch absent),steady,20,migrations,0.0,0.0,3,1|2|3
A,released-prototype (TP patch absent),steady,20,failed,1878.333333,3253.368767,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,goodput,0.982222,0.457546,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,joint_slo,0.12228,0.058189,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,throughput,8.052222,0.105532,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,ttft_p50,112.66307,2.941449,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,ttft_p95,647.174474,62.510132,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,ttft_p99,3460.653377,1418.401922,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,tpot_p50,51.453673,3.259796,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,tpot_p95,113.469396,10.97185,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,tpot_p99,179.814169,27.497184,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,e2e_p50,6511.341906,725.566497,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,e2e_p95,27482.148187,3631.282948,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,e2e_p99,37918.618426,2666.085511,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,migrations,3.333333,1.154701,3,1|2|3
B,"released-prototype (TP patch present, off)",bursty,8,failed,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,goodput,0.725556,0.296467,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,joint_slo,0.361093,0.146872,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,throughput,2.008889,0.081672,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,ttft_p50,101.557374,7.449644,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,ttft_p95,1133.153987,1274.812008,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,ttft_p99,4936.563069,1694.24201,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,tpot_p50,37.119906,3.032879,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,tpot_p95,60.238304,7.311287,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,tpot_p99,82.458061,8.715154,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,e2e_p50,4703.199723,333.010566,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,e2e_p95,17817.745489,2440.58009,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,e2e_p99,20908.243394,3391.021367,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,migrations,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,2,failed,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,goodput,0.855556,0.080646,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,joint_slo,0.212508,0.017139,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,throughput,4.023333,0.065574,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,ttft_p50,110.62483,6.156749,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,ttft_p95,1552.341537,2114.418603,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,ttft_p99,5077.5213,3986.060962,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,tpot_p50,42.27337,1.329282,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,tpot_p95,80.284228,9.074842,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,tpot_p99,126.770019,43.404138,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,e2e_p50,5896.024579,751.663381,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,e2e_p95,22687.602341,2982.577058,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,e2e_p99,30281.24117,2600.151441,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,migrations,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,4,failed,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,goodput,0.706667,0.288116,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,joint_slo,0.087957,0.036754,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,throughput,8.052222,0.105532,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,ttft_p50,123.682737,3.510648,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,ttft_p95,819.230036,429.313755,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,ttft_p99,4191.914864,1964.049781,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,tpot_p50,55.477846,1.401374,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,tpot_p95,151.890957,18.052133,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,tpot_p99,213.13602,33.659348,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,e2e_p50,7249.678556,427.799165,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,e2e_p95,32904.90654,3374.702295,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,e2e_p99,54240.509735,12657.942913,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,migrations,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,8,failed,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,goodput,0.372222,0.106736,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,joint_slo,0.026526,0.007915,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,throughput,9.857778,7.463241,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,ttft_p50,133.602659,42.833403,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,ttft_p95,1420.734429,1207.274722,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,ttft_p99,2526.3221,2257.091646,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,tpot_p50,66.596754,30.943719,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,tpot_p95,417.96142,325.229886,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,tpot_p99,1333.326594,1101.952426,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,e2e_p50,9921.962391,5923.12027,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,e2e_p95,50795.982113,32781.428746,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,e2e_p99,73987.690587,51612.4573,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,migrations,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,14,failed,1262.0,2185.848119,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,goodput,0.387778,0.27277,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,joint_slo,0.019658,0.014163,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,throughput,16.314444,6.525865,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,ttft_p50,822.722753,1055.069336,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,ttft_p95,25952.187729,37999.469184,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,ttft_p99,36104.418444,52550.917347,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,tpot_p50,110.586875,40.74242,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,tpot_p95,585.026616,398.34298,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,tpot_p99,1237.381567,894.51202,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,e2e_p50,17698.45152,1516.455497,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,e2e_p95,83749.800331,4190.442124,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,e2e_p99,110960.12713,6720.143899,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,migrations,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),bursty,20,failed,1073.0,1858.490517,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,goodput,0.34,0.124544,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,joint_slo,0.083252,0.030183,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,throughput,4.077778,0.070026,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,ttft_p50,105.766098,5.351113,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,ttft_p95,217.620579,8.218918,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,ttft_p99,304.000568,12.777958,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,tpot_p50,44.310927,2.628392,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,tpot_p95,60.331474,5.163549,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,tpot_p99,71.743478,5.469961,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,e2e_p50,5750.233868,915.753542,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,e2e_p95,19535.800307,1501.971098,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,e2e_p99,22501.057456,1543.068272,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,migrations,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,4,failed,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,goodput,0.265556,0.042208,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,joint_slo,0.032898,0.005219,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,throughput,8.072222,0.02835,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,ttft_p50,112.898747,6.307017,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,ttft_p95,244.232519,18.834522,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,ttft_p99,403.933896,40.54097,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,tpot_p50,51.016593,3.694858,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,tpot_p95,73.634291,5.049692,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,tpot_p99,90.962177,8.100182,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,e2e_p50,6299.619189,497.649472,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,e2e_p95,23640.331339,1397.433389,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,e2e_p99,26858.525772,1173.035396,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,migrations,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,8,failed,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,goodput,0.188889,0.067027,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,joint_slo,0.00945,0.003341,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,throughput,19.987778,0.148711,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,ttft_p50,139.927467,7.850736,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,ttft_p95,359.375572,38.499162,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,ttft_p99,814.38707,159.779189,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,tpot_p50,91.280969,24.069206,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,tpot_p95,201.173617,47.065084,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,tpot_p99,270.630835,65.250625,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,e2e_p50,9928.200825,1126.993403,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,e2e_p95,62023.413064,13518.748276,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,e2e_p99,71903.645014,16181.1356,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,migrations,0.0,0.0,3,1|2|3
C,paper-faithful-v6 (all mechanisms on),steady,20,failed,0.0,0.0,3,1|2|3
