cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787252754.7334003,model_5,1,0,0,0
1,1787252754.7334003,model_1,2,2|3,2|3,0
1,1787252754.7334003,model_6,1,1,1,0
1,1787252754.7334003,model_2,1,1,1,0
1,1787252754.7334003,model_3,1,2,2,0
1,1787252754.7334003,model_4,1,0,0,0
2,1787252759.8179362,model_2,1,1,1,0
2,1787252759.8179362,model_3,1,2,2,0
2,1787252759.8179362,model_5,1,0,0,0
2,1787252759.8179362,model_6,1,1,1,0
2,1787252759.8179362,model_1,2,2|3,2|3,0
2,1787252759.8179362,model_4,1,0,0,0
3,1787252765.0163386,model_3,1,2,2,0
3,1787252765.0163386,model_5,1,0,0,0
3,1787252765.0163386,model_2,1,1,1,0
3,1787252765.0163386,model_6,1,1,3,0
3,1787252765.0163386,model_1,2,2|3,1|3,0
3,1787252765.0163386,model_4,1,0,3,0
4,1787252770.1055698,model_2,1,1,1,0
4,1787252770.1055698,model_3,1,2,2,0
4,1787252770.1055698,model_5,1,0,0,0
4,1787252770.1055698,model_6,1,3,3,0
4,1787252770.1055698,model_1,2,2|3,1|3,0
4,1787252770.1055698,model_4,1,0,0,0
5,1787252775.2109404,model_2,1,1,1,0
5,1787252775.2109404,model_5,1,0,0,0
5,1787252775.2109404,model_3,1,2,2,0
5,1787252775.2109404,model_6,1,3,3,0
5,1787252775.2109404,model_1,2,2|3,1|3,0
5,1787252775.2109404,model_4,1,0,3,0
6,1787252780.3362641,model_2,1,1,1,0
6,1787252780.3362641,model_5,1,0,0,0
6,1787252780.3362641,model_3,1,2,2,0
6,1787252780.3362641,model_6,1,3,3,0
6,1787252780.3362641,model_1,2,2|3,1|3,0
6,1787252780.3362641,model_4,1,0,3,0
7,1787252785.4586995,model_2,1,1,1,0
7,1787252785.4586995,model_5,1,0,0,0
7,1787252785.4586995,model_3,1,2,2,0
7,1787252785.4586995,model_6,1,3,3,0
7,1787252785.4586995,model_1,2,2|3,1|3,0
7,1787252785.4586995,model_4,1,0,3,0
8,1787252790.5416818,model_2,1,1,1,0
8,1787252790.5416818,model_5,1,0,0,0
8,1787252790.5416818,model_3,1,2,2,0
8,1787252790.5416818,model_6,1,3,3,0
8,1787252790.5416818,model_1,2,2|3,1|3,0
8,1787252790.5416818,model_4,1,0,3,0
9,1787252795.567405,model_2,1,1,1,0
9,1787252795.567405,model_5,1,0,0,0
9,1787252795.567405,model_3,1,2,2,0
9,1787252795.567405,model_6,1,3,3,0
9,1787252795.567405,model_1,2,2|3,2|3,0
9,1787252795.567405,model_4,1,0,3,0
10,1787252800.617127,model_2,1,1,1,0
10,1787252800.617127,model_5,1,0,0,0
10,1787252800.617127,model_3,1,2,2,0
10,1787252800.617127,model_1,2,2|3,1|3,0
10,1787252800.617127,model_6,1,3,3,0
10,1787252800.617127,model_4,1,3,3,0
11,1787252805.7968292,model_5,1,0,0,0
11,1787252805.7968292,model_2,1,1,1,0
11,1787252805.7968292,model_1,2,2|3,2|3,0
11,1787252805.7968292,model_3,1,2,2,0
11,1787252805.7968292,model_4,1,3,3,0
11,1787252805.7968292,model_6,1,3,3,0
12,1787252810.9190714,model_5,1,0,0,0
12,1787252810.9190714,model_2,1,1,1,0
12,1787252810.9190714,model_1,2,2|3,2|3,0
12,1787252810.9190714,model_3,1,2,2,0
12,1787252810.9190714,model_4,1,3,3,0
12,1787252810.9190714,model_6,1,3,3,0
13,1787252815.9353476,model_5,1,0,0,0
13,1787252815.9353476,model_1,2,2|3,2|3,0
13,1787252815.9353476,model_4,1,3,1,0
13,1787252815.9353476,model_3,1,2,2,0
13,1787252815.9353476,model_2,1,1,1,0
13,1787252815.9353476,model_6,1,3,3,0
14,1787252820.9516752,model_5,1,0,0,0
14,1787252820.9516752,model_1,2,2|3,2|3,0
14,1787252820.9516752,model_4,1,3,3,0
14,1787252820.9516752,model_3,1,2,2,0
14,1787252820.9516752,model_2,1,1,1,0
14,1787252820.9516752,model_6,1,3,1,0
15,1787252825.9856873,model_5,1,0,0,0
15,1787252825.9856873,model_1,2,2|3,2|3,0
15,1787252825.9856873,model_4,1,3,3,0
15,1787252825.9856873,model_3,1,2,2,0
15,1787252825.9856873,model_2,1,1,1,0
15,1787252825.9856873,model_6,1,3,1,0
16,1787252831.0250518,model_5,1,0,0,0
16,1787252831.0250518,model_1,2,2|3,2|3,0
16,1787252831.0250518,model_4,1,3,1,0
16,1787252831.0250518,model_3,1,2,2,0
16,1787252831.0250518,model_6,1,1,1,0
16,1787252831.0250518,model_2,1,1,1,0
17,1787252836.2208824,model_5,1,0,0,0
17,1787252836.2208824,model_1,2,2|3,2|3,0
17,1787252836.2208824,model_4,1,3,1,0
17,1787252836.2208824,model_3,1,2,2,0
17,1787252836.2208824,model_2,1,1,1,0
17,1787252836.2208824,model_6,1,1,1,0
18,1787252841.2949536,model_5,1,0,0,0
18,1787252841.2949536,model_1,2,2|3,2|3,0
18,1787252841.2949536,model_4,1,3,1,0
18,1787252841.2949536,model_3,1,2,2,0
18,1787252841.2949536,model_2,1,1,1,0
18,1787252841.2949536,model_6,1,1,1,0
19,1787252846.3637466,model_5,1,0,0,0
19,1787252846.3637466,model_1,2,2|3,2|3,0
19,1787252846.3637466,model_4,1,3,1,0
19,1787252846.3637466,model_3,1,2,2,0
19,1787252846.3637466,model_2,1,1,1,0
19,1787252846.3637466,model_6,1,1,1,0
20,1787252851.5428927,model_5,1,0,0,0
20,1787252851.5428927,model_1,2,2|3,2|3,0
20,1787252851.5428927,model_4,1,3,1,0
20,1787252851.5428927,model_3,1,2,2,0
20,1787252851.5428927,model_2,1,1,1,0
21,1787252856.6671348,model_5,1,0,0,0
21,1787252856.6671348,model_1,2,2|3,2|3,0
21,1787252856.6671348,model_4,1,3,1,0
21,1787252856.6671348,model_3,1,2,2,0
21,1787252856.6671348,model_2,1,1,1,0
22,1787252861.7757394,model_5,1,0,0,0
22,1787252861.7757394,model_1,2,2|3,2|3,0
22,1787252861.7757394,model_4,1,3,1,0
22,1787252861.7757394,model_3,1,2,2,0
22,1787252861.7757394,model_2,1,1,1,0
23,1787252866.8826647,model_5,1,0,0,0
23,1787252866.8826647,model_1,2,2|3,2|3,0
23,1787252866.8826647,model_4,1,3,1,0
23,1787252866.8826647,model_3,1,2,2,0
23,1787252866.8826647,model_2,1,1,1,0
24,1787252872.0847194,model_5,1,0,0,0
24,1787252872.0847194,model_1,2,2|3,2|3,0
24,1787252872.0847194,model_3,1,2,1,0
24,1787252872.0847194,model_4,1,3,3,0
24,1787252872.0847194,model_2,1,1,1,0
25,1787252877.2183719,model_5,1,0,0,0
25,1787252877.2183719,model_3,1,1,1,0
25,1787252877.2183719,model_1,2,2|3,2|3,0
25,1787252877.2183719,model_4,1,3,3,0
25,1787252877.2183719,model_6,1,3,3,0
25,1787252877.2183719,model_2,1,1,2,0
26,1787252882.2635741,model_3,1,1,1,0
26,1787252882.2635741,model_5,1,0,0,0
26,1787252882.2635741,model_1,2,2|3,2|3,0
26,1787252882.2635741,model_4,1,3,3,0
26,1787252882.2635741,model_6,1,3,3,0
26,1787252882.2635741,model_2,1,1,2,0
27,1787252887.298882,model_3,1,1,1,0
27,1787252887.298882,model_5,1,0,0,0
27,1787252887.298882,model_1,2,2|3,2|3,0
27,1787252887.298882,model_6,1,3,3,0
27,1787252887.298882,model_4,1,3,3,0
27,1787252887.298882,model_2,1,1,2,0
28,1787252892.542264,model_3,1,1,1,0
28,1787252892.542264,model_5,1,0,0,0
28,1787252892.542264,model_6,1,3,3,0
28,1787252892.542264,model_1,2,2|3,2|3,0
28,1787252892.542264,model_4,1,3,3,0
28,1787252892.542264,model_2,1,1,2,0
29,1787252897.5922754,model_3,1,1,1,0
29,1787252897.5922754,model_5,1,0,0,0
29,1787252897.5922754,model_6,1,3,3,0
29,1787252897.5922754,model_1,2,2|3,2|3,0
29,1787252897.5922754,model_4,1,3,3,0
29,1787252897.5922754,model_2,1,1,2,0
30,1787252902.6413126,model_3,1,1,1,0
30,1787252902.6413126,model_5,1,0,0,0
30,1787252902.6413126,model_6,1,3,3,0
30,1787252902.6413126,model_1,2,2|3,1|2,0
30,1787252902.6413126,model_2,1,1,2,0
30,1787252902.6413126,model_4,1,3,2,0
31,1787252907.6847603,model_3,1,1,1,0
31,1787252907.6847603,model_5,1,0,0,0
31,1787252907.6847603,model_6,1,3,3,0
31,1787252907.6847603,model_1,2,2|3,2|3,0
31,1787252907.6847603,model_4,1,3,3,0
32,1787252912.7123544,model_3,1,1,1,0
32,1787252912.7123544,model_5,1,0,0,0
32,1787252912.7123544,model_6,1,3,3,0
32,1787252912.7123544,model_1,2,2|3,2|3,0
32,1787252912.7123544,model_4,1,3,3,0
33,1787252917.8228295,model_3,1,1,1,0
33,1787252917.8228295,model_5,1,0,0,0
33,1787252917.8228295,model_6,1,3,3,0
33,1787252917.8228295,model_1,2,2|3,2|3,0
