cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787239674.7337162,model_3,1,2,2,0
1,1787239674.7337162,model_1,2,2|3,2|3,0
1,1787239674.7337162,model_2,1,1,1,0
1,1787239674.7337162,model_4,1,0,0,0
1,1787239674.7337162,model_5,1,0,0,0
1,1787239674.7337162,model_6,1,1,1,0
2,1787239679.794985,model_3,1,2,2,0
2,1787239679.794985,model_1,2,2|3,2|3,0
2,1787239679.794985,model_4,1,0,0,0
2,1787239679.794985,model_2,1,1,1,0
2,1787239679.794985,model_5,1,0,0,0
2,1787239679.794985,model_6,1,1,1,0
3,1787239684.9396722,model_1,2,2|3,2|3,0
3,1787239684.9396722,model_3,1,2,2,0
3,1787239684.9396722,model_4,1,0,0,0
3,1787239684.9396722,model_2,1,1,1,0
3,1787239684.9396722,model_5,1,0,0,0
3,1787239684.9396722,model_6,1,1,1,0
4,1787239690.038359,model_1,2,2|3,2|3,0
4,1787239690.038359,model_3,1,2,2,0
4,1787239690.038359,model_4,1,0,0,0
4,1787239690.038359,model_2,1,1,1,0
4,1787239690.038359,model_5,1,0,0,0
4,1787239690.038359,model_6,1,1,1,0
5,1787239695.0484915,model_3,1,2,2,0
5,1787239695.0484915,model_1,2,2|3,2|3,0
5,1787239695.0484915,model_4,1,0,0,0
5,1787239695.0484915,model_2,1,1,1,0
5,1787239695.0484915,model_5,1,0,0,0
5,1787239695.0484915,model_6,1,1,1,0
6,1787239700.0586376,model_3,1,2,2,0
6,1787239700.0586376,model_1,2,2|3,2|3,0
6,1787239700.0586376,model_4,1,0,0,0
6,1787239700.0586376,model_2,1,1,1,0
6,1787239700.0586376,model_5,1,0,0,0
6,1787239700.0586376,model_6,1,1,1,0
7,1787239705.0706925,model_1,2,2|3,2|3,0
7,1787239705.0706925,model_3,1,2,2,0
7,1787239705.0706925,model_4,1,0,0,0
7,1787239705.0706925,model_2,1,1,1,0
7,1787239705.0706925,model_5,1,0,0,0
7,1787239705.0706925,model_6,1,1,1,0
8,1787239710.171675,model_3,1,2,2,0
8,1787239710.171675,model_1,2,2|3,2|3,0
8,1787239710.171675,model_4,1,0,0,0
8,1787239710.171675,model_2,1,1,1,0
8,1787239710.171675,model_5,1,0,0,0
8,1787239710.171675,model_6,1,1,1,0
9,1787239715.3786852,model_1,2,2|3,2|3,0
9,1787239715.3786852,model_3,1,2,2,0
9,1787239715.3786852,model_4,1,0,0,0
9,1787239715.3786852,model_2,1,1,1,0
9,1787239715.3786852,model_5,1,0,0,0
9,1787239715.3786852,model_6,1,1,1,0
10,1787239720.6399915,model_1,2,2|3,2|3,0
10,1787239720.6399915,model_3,1,2,2,0
10,1787239720.6399915,model_4,1,0,0,0
10,1787239720.6399915,model_2,1,1,1,0
10,1787239720.6399915,model_5,1,0,0,0
10,1787239720.6399915,model_6,1,1,1,0
11,1787239725.7734323,model_1,2,2|3,2|3,0
11,1787239725.7734323,model_3,1,2,2,0
11,1787239725.7734323,model_4,1,0,0,0
11,1787239725.7734323,model_2,1,1,1,0
11,1787239725.7734323,model_5,1,0,0,0
11,1787239725.7734323,model_6,1,1,1,0
12,1787239730.859178,model_1,2,2|3,2|3,0
12,1787239730.859178,model_3,1,2,2,0
12,1787239730.859178,model_4,1,0,0,0
13,1787239736.1157312,model_1,2,2|3,2|3,0
13,1787239736.1157312,model_3,1,2,2,0
13,1787239736.1157312,model_4,1,0,0,0
14,1787239741.2775548,model_1,2,2|3,2|3,0
14,1787239741.2775548,model_3,1,2,2,0
14,1787239741.2775548,model_4,1,0,0,0
15,1787239746.2970908,model_1,2,2|3,2|3,0
15,1787239746.2970908,model_3,1,2,2,0
15,1787239746.2970908,model_4,1,0,0,0
16,1787239751.4907706,model_3,1,2,2,0
16,1787239751.4907706,model_1,2,2|3,2|3,0
16,1787239751.4907706,model_4,1,0,0,0
17,1787239756.612552,model_1,2,2|3,2|3,0
17,1787239756.612552,model_3,1,2,2,0
17,1787239756.612552,model_4,1,0,0,0
18,1787239761.6347806,model_1,2,2|3,2|3,0
18,1787239761.6347806,model_3,1,2,2,0
18,1787239761.6347806,model_4,1,0,0,0
19,1787239766.7096667,model_3,1,2,2,0
19,1787239766.7096667,model_1,2,2|3,2|3,0
19,1787239766.7096667,model_4,1,0,0,0
20,1787239771.7731862,model_3,1,2,2,0
20,1787239771.7731862,model_1,2,2|3,2|3,0
20,1787239771.7731862,model_6,1,1,1,0
20,1787239771.7731862,model_5,1,1,1,0
20,1787239771.7731862,model_4,1,0,0,0
21,1787239776.9984016,model_3,1,2,2,0
21,1787239776.9984016,model_1,2,2|3,2|3,0
21,1787239776.9984016,model_6,1,1,1,0
21,1787239776.9984016,model_5,1,1,1,0
21,1787239776.9984016,model_4,1,0,0,0
21,1787239776.9984016,model_2,1,3,3,0
22,1787239782.0758564,model_3,1,2,2,0
22,1787239782.0758564,model_6,1,1,1,0
22,1787239782.0758564,model_5,1,1,1,0
22,1787239782.0758564,model_1,2,2|3,2|3,0
22,1787239782.0758564,model_4,1,0,0,0
22,1787239782.0758564,model_2,1,3,3,0
23,1787239787.1482642,model_5,1,1,1,0
23,1787239787.1482642,model_3,1,2,2,0
23,1787239787.1482642,model_6,1,1,1,0
23,1787239787.1482642,model_1,2,2|3,2|3,0
23,1787239787.1482642,model_4,1,0,0,0
23,1787239787.1482642,model_2,1,3,3,0
24,1787239792.2186513,model_5,1,1,1,0
24,1787239792.2186513,model_3,1,2,2,0
24,1787239792.2186513,model_6,1,1,1,0
24,1787239792.2186513,model_2,1,3,3,0
24,1787239792.2186513,model_1,2,2|3,2|3,0
24,1787239792.2186513,model_4,1,0,0,0
25,1787239797.2461927,model_5,1,1,1,0
25,1787239797.2461927,model_3,1,2,2,0
25,1787239797.2461927,model_6,1,1,1,0
25,1787239797.2461927,model_2,1,3,3,0
25,1787239797.2461927,model_1,2,2|3,2|3,0
25,1787239797.2461927,model_4,1,0,0,0
26,1787239802.3493345,model_5,1,1,1,0
26,1787239802.3493345,model_3,1,2,2,0
