cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787255348.2915325,model_5,1,0,0,0
1,1787255348.2915325,model_1,2,0|1,0|1,0
1,1787255348.2915325,model_2,2,2|3,2|3,0
1,1787255348.2915325,model_3,1,2,2,0
1,1787255348.2915325,model_4,1,0,0,0
1,1787255348.2915325,model_6,1,1,1,0
2,1787255353.3160286,model_5,1,0,0,0
2,1787255353.3160286,model_3,1,2,2,0
2,1787255353.3160286,model_2,2,2|3,2|3,0
2,1787255353.3160286,model_6,1,1,1,0
2,1787255353.3160286,model_1,2,0|1,0|1,0
2,1787255353.3160286,model_4,1,0,0,0
3,1787255358.4982002,model_3,1,2,2,0
3,1787255358.4982002,model_2,2,2|3,2|3,0
3,1787255358.4982002,model_5,1,0,0,0
3,1787255358.4982002,model_6,1,1,1,0
3,1787255358.4982002,model_1,2,0|1,0|1,0
3,1787255358.4982002,model_4,1,0,0,0
4,1787255363.536993,model_3,1,2,2,0
4,1787255363.536993,model_2,2,2|3,2|3,0
4,1787255363.536993,model_5,1,0,0,0
4,1787255363.536993,model_6,1,1,1,0
4,1787255363.536993,model_1,2,0|1,0|1,0
4,1787255363.536993,model_4,1,0,0,0
5,1787255368.7012897,model_2,2,2|3,2|3,0
5,1787255368.7012897,model_3,1,2,2,0
5,1787255368.7012897,model_5,1,0,0,0
5,1787255368.7012897,model_6,1,1,1,0
5,1787255368.7012897,model_1,2,0|1,0|1,0
5,1787255368.7012897,model_4,1,0,0,0
6,1787255373.7716074,model_2,2,2|3,2|3,0
6,1787255373.7716074,model_5,1,0,0,0
6,1787255373.7716074,model_3,1,2,2,0
6,1787255373.7716074,model_6,1,1,1,0
6,1787255373.7716074,model_1,2,0|1,0|1,0
6,1787255373.7716074,model_4,1,0,0,0
7,1787255379.0682483,model_2,2,2|3,2|3,0
7,1787255379.0682483,model_3,1,2,2,0
7,1787255379.0682483,model_5,1,0,0,0
7,1787255379.0682483,model_6,1,1,1,0
7,1787255379.0682483,model_1,2,0|1,0|1,0
7,1787255379.0682483,model_4,1,0,0,0
8,1787255384.176645,model_2,2,2|3,2|3,0
8,1787255384.176645,model_3,1,2,2,0
8,1787255384.176645,model_5,1,0,0,0
8,1787255384.176645,model_6,1,1,1,0
8,1787255384.176645,model_1,2,0|1,0|1,0
8,1787255384.176645,model_4,1,0,0,0
9,1787255389.1953843,model_2,2,2|3,2|3,0
